t-SNE-1,t-SNE-2,index,L1,L2,L3,L4,противоион,Номер_в_статье,"IC50,μM±Dark","IC50,μM(Light)",PI,"λex,nm",Клеточная линия,"Conditions,O2%","Время, h",DOI,Unnamed: 14,Unnamed: 15
21.734062,-13.084093,30,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Cc1ccnc(-c2cc(CN)ccn2)c1,,F[P-](F)(F)(F)(F)F,Ir-NH2,9.7,,,,A549,,48,10.1016/j.jinorgbio.2022.111913,,
22.070969,-15.243557,31,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Cc1ccnc(-c2cc(CNC(=O)c3c4ccccc4cc4ccccc34)ccn2)c1,,F[P-](F)(F)(F)(F)F,Ir-9-Ac,1.8,,,,A549,,48,10.1016/j.jinorgbio.2022.111913,,
-19.274078,-7.6508718,42,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Fc1cc2ccccc2cc1Oc1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,Ir1,1.2,,,,A549,,48,10.1016/j.jinorgbio.2022.111946,,
-2.3548503,20.017029,65,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CC(C)OC(=S)[S-],,,Ir1,11.0,,,,A549,,24,10.1016/j.jinorgbio.2022.111855,,
-2.9864697,19.231752,66,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CCOC(=S)[S-],,,Ir2,24.6,,,,A549,,24,10.1016/j.jinorgbio.2022.111855,,
-3.7236092,21.145647,67,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,S=C([S-])N1CCOCC1,,,Ir3,17.8,,,,A549,,24,10.1016/j.jinorgbio.2022.111855,,
-3.2752671,18.522978,68,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CCN(CC)C(=S)[S-],,,Ir4,25.4,,,,A549,,24,10.1016/j.jinorgbio.2022.111855,,
-46.515846,8.18345,77,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Clc1ccc(-c2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2)cc1,,F[P-](F)(F)(F)(F)F,Ir1,200.0,,,,A549,,48,10.1016/j.jinorgbio.2022.111868,,
9.120914,10.409143,103,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1c[nH]cn1,c1c[nH]cn1,F[P-](F)(F)(F)(F)F,Ir1,16.6,,,,A549,,48,10.1016/j.jinorgbio.2022.111803,,
10.586729,8.5910225,104,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1c[nH]c(-c2ncc[nH]2)n1,,F[P-](F)(F)(F)(F)F,Ir2,100.0,,,,A549,,48,10.1016/j.jinorgbio.2022.111803,,
36.375637,11.839618,111,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,O=C(Cn1c(-c2cscn2)nc2ccccc21)c1ccccc1,,[Cl-],[1a]Cl,2.75,"0,32 ± 0,10","8,6",460,PC3,,48,10.1016/j.jinorgbio.2022.111790,,
